address,area,bedroom_number,description,direction,end_date,floor_number,height,is_car_pack,is_dinning_room,is_kitchen,is_owner,is_terrace,law,price,start_date,street_in_front_of_house,type,width
" Quốc Lộ 13, Xã Tân Khai, Huyện Hớn Quản, Bình Phước", 520 m,---,,_,,---,---,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 380 triệu ,Ngày đăng: 14/07/2023,18m,"Đất thổ cư, đất ở",---
" Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội", 70 m,15,"-    Nhà tọa lạc tại vị trí đẹp nhất khu vực phố Cầu Giấy, mỏ vàng trong làng cho thuê, cách phố lớn chỉ vài bước chân, xung quanh tiện ích đầy đủ. 
-    Nhà xây 8 tầng thang máy hiện đại, lô góc, oto đỗ cửa, thiết kế 15 phòng khép kín, dòng tiền hơn 65tr/tháng. 
-    Chủ nhà thành đạt, con cái đang đi du học nước ngoài. 
-    Sổ đỏ cất két sẵn sàng giao dịch, pháp lý rõ ràng. 
Giá bán: 8 tỷ (chưa thương lượng) 
LIÊN HỆ NGAY: Đức Phú (Sđt ghi ở Phần Liên Hệ) 
MIỄN TG VÀ MG",_,,8,12m,False,False,False,False,False,---, 8 tỷ ,Ngày đăng: 14/07/2023,7m,"Phòng trọ, nhà trọ",6m
" Đường Cách Mạng Tháng 8, Phường Định Hòa, Thành phố Thủ Dầu Một, Bình Dương", 651 m,---,,_,,---,21m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 760 triệu ,Ngày đăng: 14/07/2023,15m,"Đất thổ cư, đất ở",30m
" Đường 3/2, Phường 14, Quận 10, Hồ Chí Minh", 232 m,4,"*** Bán nhà 2 mặt tiền trước sau đường 3/2 phường 14 quận 10.
- Diện tích 13m x 22m.
- Công nhận 232m2. 
- Kết cấu 5 tầng.
- Vị trí siêu đẹp ngay trên đường 3/2 gần ngay đoạn Nguyễn Tri Phương và Lý Thường Kiệt.
- Với chiều ngay hơn 10m thích  hợp xây dựng bệnh viện, tòa nhà văn phòng.
- Hướng Đông Nam.
- Giá bán 93 tỷ thương lượng.",Tây Nam,,4,22m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 93 tỷ ,Ngày đăng: 14/07/2023,20m,Nhà mặt tiền,13m
" Đường Nghĩa Tân, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội", 80 m,4,"-	Nhà tọa lạc tại vị trí đẹp nhất phố Nghĩa Tân, kinh doanh hay để ở đều phù hợp. 
-	Nhà xây 7 tầng thang máy hiện đại, gara ôtô, nội thất cao cấp. 
-       Chủ nhà thành đạt, con trai đang là giảng viên đại học Ngoại Thương. 
-	Sổ đỏ cất két sẵn sàng giao dịch, pháp lý rõ ràng. 
Giá bán: 11.5 tỷ (chưa thương lượng) 
LIÊN HỆ NGAY: Đức Phú (Sđt ghi ở Phần Liên Hệ) 
MIỄN TG VÀ MG",_,,7,13m,False,False,False,False,False,---," 11,5 tỷ ",Ngày đăng: 14/07/2023,15m,Nhà mặt tiền,6m
" Đường Vĩnh Phú 10, Phường Vĩnh Phú, Thành phố Thuận An, Bình Dương", 300 m,---,"Kẹt Vốn Mở Rộng Kinh Doanh và Trả Nợ Ngân Hàng Chính Chủ Cần Bán Gấp Lô Đất Nằm Trong KĐT mới tại Bến Cát - Bình Dương, Sát KCN Việt-Sing.
- Diện Tích : 300m2 ( 10mx30m )
- Mặt tiền đường và vỉa hè rộng 16m thông thẳng ra trục đường chính Mỹ Phước - Tân Vạn. đối diện là KCN Việt-Sing đang hoạt động.
- Xung quanh bán kính 500m có đầy đủ các khu dịch vụ tiện ích như : Trường Học Cấp 1-2, Ngân Hàng, Bệnh Viện, Siêu Thị, Chợ Dân Sinh... Phù hợp kinh doanh buôn bán, mở quán cafe hay đầu tư đều được.
- Hạ tầng có sẵng : Vỉa hè, đèn đường,... có thể xây dựng ở ngay.
+++ Giá bán : 1,6 Tỷ ( Bên bán chịu mọi chi phí mua bán ) 

- Diện Tích : 420m2 ( 20x21 ) Tách Làm 2 Sổ ( 210m2 = 10x21 )
- Mặt tiền đường nhựa rộng 14m thông dài. Đối diện là Khu Trung Tâm Hành Chính Xã gồm : Trụ Sở Công An, Uỷ Ban ND, Bệnh Viện, Trường Học, TTVH Thể Thao... Phù Hợp Đầu Tư hoặc ở đều tốt vì đã có dân cư rồi.
- Hạ tầng có sẵng : Vỉa hè, đèn đường,... có thể xây dựng ở ngay.
+++ Giá bán : 975 Triệu / 1 Sổ ( Bên bán chịu mọi chi phí mua bán ) mua hết tôi bớt thêm


### TT LIÊN HỆ : Zalo/Phone ( xem giấy tờ và vị trí )",_,,---,30m,False,False,False,False,False,Sổ hồng/ Sổ đỏ," 1,6 tỷ ",Ngày đăng: 14/07/2023,16m,"Đất thổ cư, đất ở",10m
" Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh", 80 m,3,"- Vị trí: đường Đinh Đức Thiện, cách chợ Bình Chánh 5p,
- Bán kính 2km đầy đủ tiện ích sống: chợ Bình Chánh, trường học các cấp, trạm y tế xã Bình Chánh, UBND Bình Chánh, BHX, TGDD Đinh Đức Thiện, chợ Bình Điền,…
- Nhà kiên cố 1 lầu 1 trệt DT 4mx20m (80m2) + 3 phòng ngủ + 1 phòng thờ + 2 nhà vệ sinh, phòng khách phòng bếp rộng rãi.
- Sổ hồng riêng có hiện đường
- Không lộ giới, không tranh chấp, không quy hoạch. Định cư lâu dài. Điện nước nhà nước. 
- Đường thông xe hơi trước nhà, có sân đậu ô tô (LG 9m)
- Khu dân cư an ninh, sạch sẽ, không lo ngập
- Ngân hàng hỗ trợ vay vốn từ 50% lãi suất cực tốt cho khách có nhu cầu tháng 7 này
Anh/Chị quan tâm xem nhà thực tế liên hệ ngay:  Tường Vân!
An Cư – Lac Nghiệp!",Tây,,1,20m,True,True,True,False,True,Sổ hồng/ Sổ đỏ," 1,4 tỷ ",Ngày đăng: 14/07/2023,5m,Nhà mặt tiền,4m
" Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, Hồ Chí Minh", 80 m,4,"🔥Bán Nhanh🔥 Mặt tiền 164 Nguyễn Trãi,phường Bến Thành,Quận 1

✅- Diện tích : 4 x 20m
✅- Kết cấu : 1 trệt 2 lầu + Sân Thượng
📍Vị trí cực đẹp của tuyến đường thời trang bậc nhất . Tập trung nhiều nhà hàng, khách sạn, văn phòng, khu thương mại lớn .
✅- Hợp đồng thuê : 100 triệu/tháng
💰- Giá : 63 tỷ TL🤝🤝🤝
————————————————————————
☎️Liên hệ: SĐT hoặc Zalo Chí Minh
👉Nhận ký gửi mua bán cho thuê nhà đất Trung Tâm Tp.HCM
❤️Xin cảm ơn",_,,2,20m,False,True,True,False,True,Sổ hồng/ Sổ đỏ, 63 tỷ ,Ngày đăng: 14/07/2023,10m,Nhà mặt tiền,4m
" Xã Bar Măih, Huyện Chư Sê, Gia Lai", 325 m,---," Cần bán lô đất mặt tiền đường nhựa lớn .
+ Diện tích: chiều ngang 13m, chiều dài 25m. Tổng 325m2 ( thổ cư 325m2 )
+ Khu dân cư đông ngay chợ trường học ủy ban xã . Cách thành phố pleiku 18km.
+ Tổng giá bán 320 triệu . Sổ Hồng sẵn . Cho cọc 30 ngày công chứng hoặc có thể công chứng sang tên ngay.
+ Địa chỉ: xã Bar Măih, huyện Chư Sê, tỉnh Gia Lai. 
   Thông tin liên hệ: Điện thoại 0877.755.557 gặp a vương 
",_,,---,25m,False,False,False,False,False,---, 320 triệu ,Ngày đăng: 14/07/2023,---,"Đất thổ cư, đất ở",13m
" Đường Tập Đoàn 8, Xã Bình Chánh, Huyện Bình Chánh, Hồ Chí Minh", 150 m,---,"💥💥  HOT ! HOT ! TỔNG THANH LÝ !
NGÂN HÀNG PHÁT MÃI THANH LÝ 17 LÔ ĐẤT GIÁ 770 TRIỆU RẺ HƠN 30 -- 45% SO VỚI GIÁ THỊ TRƯỜNG, ĐẤT MẶT TIỀN ĐƯỜNG TẬP ĐOÀN 8  !
--------------------------------
🎏🎏🎏 ĐẤT MẶT TIỀN TẬP ĐOÀN 8, TỪ ĐINH ĐỨ THIỆN RẺ VÀO - CAM KẾT SỔ HỒNG RIÊNG, THỔ CƯ 100% - GIÁ 770 TRIỆU -5X30 150m2,  (5x32m) 160m2, 160m2 (8x20m)
--------------------------------
☎️☎️  Hotline phòng Thanh Lý : 0935% 04 %14% 19%
🍁🍁  CAM KẾT SỔ HỒNG RIÊNG TỪNG NỀN - SANG TÊN CÔNG CHỨNG NGAY -THỔ CƯ 100% HỖ TRỢ GIẤY PHÉP XÂY DỰNG  🍁🍁
--------------------------------
⛳⛳ CHỈ CẦN TRẢ TRƯỚC 270 TRIỆU, CÒN LẠI NGÂN HÀNG HỖ TRỢ TRẢ GÓP KHÔNG LÃI TRONG VÒNG 5 NĂM KHÔNG LÃI SUẤT CHỈ VỚI 10 TRIỆU/THÁNG
------------------------------------------------
🇻🇳🇻🇳🇻🇳 ƯU ĐÃI ĐẶC BIỆT TỪ NGÂN HÀNG 🇻🇳🇻🇳
➡️  TẶNG SỔ TIẾT KIỆM TRỊ GIÁ 20 TRIỆU ĐỒNG
➡️  Suất ưu đãi với lãi suất chỉ 5%/năm trong 20 năm
➡️  Tặng tài khoản VIP miễn phí tất các dịch vụ tại ngân hàng VIB
➡️ TẶNG PHIẾU MUA HÀNG 300K TẠI CO.OP MART KHI THAM QUAN, THAM KHẢO
--------------------------------------
📗TIỆN ÍCH VƯỢT TRỘI:
➡️  Đường 12m – 30m đã trải nhựa, vỉa hè 2m, hệ thống cây xanh trải khắp các tuyến đường.
➡️  Hệ thống điện, nước máy, cáp quang internet đến từng hộ dân.
➡️  Chốt bảo vệ, camera an ninh quan sát 24/24.
➡️  Trung tâm y tế cộng đồng, hệ thống Bệnh viện chăm sóc sức khỏe
☎️☎️  Hotline phòng Thanh Lý : 0935% 04 %14% 19%",_,,---,30m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 770 triệu ,Ngày đăng: 14/07/2023,12m,"Đất thổ cư, đất ở",5m
