address,area,bedroom_number,description,direction,end_date,floor_number,height,is_car_pack,is_dinning_room,is_kitchen,is_owner,is_terrace,law,price,start_date,street_in_front_of_house,type,width
" Đường Lý Thánh Tông, Phường Hiệp Tân, Quận Tân Phú, Hồ Chí Minh", 46 m,2,"+ Nhà 1 trệt, 1 lầu gồm 2 PN, 2 WC, phòng khách, Bếp. 
+ Hẻm ba gác, sạch đẹp. Nhà mới dọn vào ở ngay. Có giếng trời rất thoáng & sáng
+ Chủ nhà tặng hết nội thất. Khu dân cư đông đúc, hàng xóm thân thiện. Tiện ích xung quanh không thiếu thứ gì. 
+ Ngay trung tâm Quận Tân Phú, gần Đầm Sen, chợ, trung tâm thương mại, trường học các cấp. Thuận tiện di chuyển qua các Quận trung tâm Thành phố
+ Sổ hồng chính chủ, pháp lý chuẩn, công chứng ngay",_,,1,12m,False,False,False,False,False,Sổ hồng/ Sổ đỏ," 2,899 tỷ ",Ngày đăng: 20/06/2023,2m,Nhà trong hẻm,4m
" Đường Quốc Lộ 13, Xã Lai Hưng, Huyện Bàu Bàng, Bình Dương", 1.170 m,---,"Tôi Chính chủ cần bán xưởng mới xây chưa qua sử dụng ngay mặt tiền Quốc Lộ 13 - X.Lai Hưng - H.Bàu Bàng - Bình Dương
Do kẹt tiền nên Tôi giảm còn 15 tỷ cho anh chị có thiện chí mua nhanh.
DT đất 18.5 ( nở hậu 20.5 ) x 60 m
DT Xưởng 20 x 45 m
Có sẵn 150 m2 Thổ Cư 
Nhà xưởng cao ráo và kiên cố .
Ngân hàng cho vay khoảng 10 tỷ . 
Anh chị có nhu cầu mua vui lòng liên hệ trực tiếp Tôi ( chính chủ ) .
Xin cảm ơn !",_,,---,60m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 15 tỷ ,Ngày đăng: 14/06/2023,---,"Kho, xưởng","20,5m"
" Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội", 66 m,5,"- Vị trí cực đẹp, cách phố đúng 30m, ngõ phân lô Ô TÔ tránh, giá ~200TR/M2 cực hợp lý.
- Phía sau nhà là cơ quan rất thoáng.
- Nhà rất đẹp, có ô chờ thang máy, đầy đủ nội thất chủ để lại toàn bộ.
- Thiết kế 5 tầng kiên cố.
- Tầng 1: Gara Ô TÔ và bếp.
- Tầng 2: Phòng khách và 1 ngủ khép kín. 
- Tâng 3,4 mỗi tầng 2 ngủ khép kín. 
- Tầng 5 phòng thờ sân phơi.
- Khu vực nhiều cơ quan hành chính, quân đội...an ninh đảm bảo.
- Giá 12.6 tỷ (có thương lượng)
- LH xem nhà miễn phí: Em Điệp MTG",_,,5,---,True,True,True,False,True,Sổ hồng/ Sổ đỏ," 12,6 tỷ ",Ngày đăng: 19/06/2023,5m,Nhà trong hẻm,---
" Đường Thái Phiên, Phường Tân An, Thành phố Buôn Ma Thuột, Đắk Lắk", 120 m,4,,Đông Nam,,3,20m,True,True,True,False,True,Sổ hồng/ Sổ đỏ," 6,3 tỷ ",Ngày đăng: 19/06/2023,12m,Nhà mặt tiền,6m
" Đường Quốc Lộ 27, Xã Ea Bhôk, Huyện Cư Kuin, Đắk Lắk", 211 m,---,"Vợt cọc ebhok cukuin! Khách sài gòn cọc đến ngày cc k về kịp nên giờ trừ tiền cọc khách ra bán giá lời trên tay ít nhất 50tr/ lô! Giá bán 3 ngày kể từ ngày20/6
6x36 tc 60! Cọc 3-5 ngày cc! Còn muốn 1 tháng cc cọc 50-100tr/ lô! Sổ sẵn
Giá 255tr! Xung quanh 5m đang bán 350-375
Sát khu danh lam thắng cảnh- sát trung tâm hành chính! Khu đấu giá…
Sát cao tốc bmt nha trang- đường mòn hcm… dâyd tiêm năng vad tương lai phát triển mạnh!

☎️☎️ 𝐇𝐨𝐭𝐥𝐢𝐧𝐞:
🏢🏢 𝐕𝐏: 𝐕𝐈𝐄̣̂𝐓 𝐁𝐄́ 𝐋𝐀𝐍𝐃 𝟑𝟗𝐀 𝐍𝐠𝐮𝐲𝐞̂̃𝐧 Đ𝐢̀𝐧𝐡 𝐂𝐡𝐢𝐞̂̉𝐮, 𝐏. 𝐓𝐡𝐚̆́𝐧𝐠 𝐋𝐨̛̣𝐢, 𝐓𝐏. 𝐁𝐮𝐨̂𝐧 𝐌𝐚 𝐓𝐡𝐮𝐨̣̂𝐭, Đ𝐚̆́𝐤 𝐋𝐚̆𝐤",_,,---,36m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 235 triệu ,Ngày đăng: 20/06/2023,8m,"Đất thổ cư, đất ở",6m
" Đường Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội", 98 m,10,"+ Chính chủ giám đốc  doanh nghiệp cần giao bán ,căn nhà mặt phố Trần Duy hưng ,kinh doanh ổn định các mặt hàng,cafe ,karaoke,shop,quán ăn,thẩm mỹ viện,spa…..

+ Mô tả như sau: 

+ Tầng Hầm: Để xe, gara ô tô

+ T1: Quầy Lễ Tân, Kinh doanh, 1 phòng

+ T2 ,3, 4, 5, 6 : Mỗi tầng 2 phòng, thiết kế cầu thang giữa,  thang máy nhập khẩu. 

+ SDCC, giá tốt 36.5 tỷ (có bớt)

+ LH xem nhà 24/7 Em Điệp xin cảm ơn.
 
+ Chủ trước cho thuê 160 triệu 1 tháng",_,,6,---,True,True,True,False,True,Sổ hồng/ Sổ đỏ," 36,5 tỷ ",Ngày đăng: 19/06/2023,20m,Nhà mặt tiền,---
" Đường Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh", 72 m,2,"Chính chủ bán gấp căn nhà cấp 4, 2 phòng ngủ có gác lửng , 1 sẹc đường Phan Văn Hớn 
cách chợ Đại Hải 600m, ngay cf Hoa Gió đi vào , khu dân cư đông đúc hiện hữu 
Diện tích 72m2 ngang 4m , có 2 phòng ngủ , 2wc , phòng khách rộng rãi 
Có thể cho thuê 4tr/tháng , dọn về ở ngay 
Sổ hồng riêng chính chủ 
Giá bán nhanh 590 triệu bao hết chi phí 
Liên hệ tôi ngay để gặp chủ và đi xem nhà , không làm việc với cò lái",_,,---,---,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 590 triệu ,Ngày đăng: 22/06/2023,4m,Nhà mặt tiền,4m
" Số 8 Đường Quốc Lộ 80, Xã Tân Hòa, Thành phố Vĩnh Long, Vĩnh Long", 1.886 m,---,"- Bán đất có nhà xưởng tại địa chỉ Số 8, Tân Phú, Tân hòa, TP. Vĩnh Long, Vĩnh Long(gần cầu Mỹ Thuận)
- Đất 2 mặt tiền, vị trí đẹp, diện tích 1886m2, có 400m2 đất thổ cư, mặt tiền đường chính khoảng 27m, mặt tiền thứ 2 khoảng 70m
- Đường xe ô tô vào tân nơi, đảm bảo an ninh trật tự
- Thích hợp kinh doanh, xây dựng kho chứa hàng, khi hoàn thành xây dựng cầu vào năm nay giá trị sinh lời sẽ rất lớn
- Gía bán: 45 tỷ(còn thương lượng)
- Sổ hồng chính chủ",_,,---,70m,False,False,False,False,False,Sổ hồng/ Sổ đỏ, 45 tỷ ,Ngày đăng: 08/06/2023,---,"Kho, xưởng",27m
" Đường Trần Cao Vân, Phường 12, Quận Phú Nhuận, Hồ Chí Minh", 45 m,3,"Vị trí: Trần Cao Vân, Phường 12, Quận Phú Nhuận
- Kết cấu gồm 1 trệt 1 lầu, 3PN,2WC, sân thượng
- Nhà ở vị trí mặt tiền, khu vực kinh doanh sầm uất, nhộn nhịp, dễ dàng di chuyển ra các quận trung tâm
- Đang có hợp đồng cho thuê 20tr/ tháng
- Diện tích: 45m2
- Giá: 3tỷ150( còn thương lượng)
- Sổ hồng sẵn, mua sang tên công chứng liền trong ngày
- Hiện trạng nhà mới đẹp, đầy đủ nội thất dọn vào ở ngay liền",_,,1,9m,True,True,True,False,True,Sổ hồng/ Sổ đỏ," 3,15 tỷ ",Ngày đăng: 22/06/2023,8m,Nhà mặt tiền,5m
" Đường Lê Minh Nhựt, Xã Tân An Hội, Huyện Củ Chi, Hồ Chí Minh", 180 m,---,"Chuyển nhà về Bắc cần bán gấp lô đất mua để dành ngay mặt tiền đường Lê Minh Nhựt, Tân An Hội, Củ Chi
Diện Tích : 10 x 18m - 180m², trong đó 170m² thổ cư. Còn lại là đất CLN.
Giá : 1 tỷ 450 còn thương lượng nhẹ
SHR sang tên công chứng trong ngày, 
Dân cư đông đúc kinh doanh sầm uất, đường trải nhựa 8 giao thông cực kì thuận lợi cho việc mua bán. Gần kế trường tiểu học Nguyễn Văn Linh thích hợp cho việc bán tạp hóa hoặc văn phòng phẩm
Cách tỉnh lộ 8 300m, xung quanh đầy đủ tiện ích gần kế UBND nên cực kì an toàn, an cư lạc nghiệp cho khách mua để định cư. Về trung thâm thành phố chỉ mất tầm 45p
Anh chị quan tâm liên hệ em ngay để xem đất",_,,---,---,False,False,False,False,False,Sổ hồng/ Sổ đỏ," 1,45 tỷ ",Ngày đăng: 22/06/2023,8m,"Đất thổ cư, đất ở",---
" Đường Cách Mạng Tháng 8, Phường 13, Quận 10, Hồ Chí Minh", 60 m,3,"Vị trí: Cách Mạng Tháng 8, Phường 13, Quận 10
- Kết cấu gồm 1 trệt 1 lầu, 3PN,2WC, sân thượng
- Nhà ở vị trí mặt tiền, khu vực kinh doanh sầm uất, nhộn nhịp, dễ dàng di chuyển ra các quận trung tâm
- Đang có hợp đồng cho thuê 20tr/ tháng
- Diện tích: 60m2
- Giá: 2tỷ8( còn thương lượng)
- Sổ hồng sẵn, mua sang tên công chứng liền trong ngày
- Hiện trạng nhà mới đẹp, đầy đủ nội thất dọn vào ở ngay liền",_,,1,12m,True,True,True,False,True,Sổ hồng/ Sổ đỏ," 2,8 tỷ ",Ngày đăng: 22/06/2023,12m,Nhà mặt tiền,5m
" Đường Bùi Văn Thêm, Phường 9, Quận Phú Nhuận, Hồ Chí Minh", 45 m,4,"Vị trí: Bùi Văn Thêm, P9, Quận Phú Nhuận, TP. HCM.
Gần THPT Phú Nhuận.
Diện tích: 45m² (5x9)m.
- Giá: 5tỷ2
- Nhà 1 trệt 2 lầu, 4 phòng ngủ, 2 WC, sân thượng.
- Khu dân cư đông đúc, xung quanh đầy đủ tiện ích, an ninh cao.
- Dễ dàng di chuyển qua các quận trung tâm như quận1, quận Bình Thạnh, quận Gò Vấp.
- Nhà đầy đủ nội thất, dọn vào ở liền.
- Sổ sẵn, mua công chứng sang tên ngay.",_,,2,9m,False,True,False,False,False,Sổ hồng/ Sổ đỏ," 5,2 tỷ ",Ngày đăng: 22/06/2023,12m,Nhà mặt tiền,5m
